2c7hpfcrsf9q0,3jy905oq5p0fd,6
1i9lrrdbgar71,1jy2n8j8kbywh,18
09y07hf8048qk,1rex08c88yul7,2
1uj408gj7d7ef,35buguso0hai4,128
0fg9g3x972bmr,0z5je3vcvs61n,2
1t8hyus81u4p0,27y9qbamw9ztc,2
2mim87ycpkqpd,32kl1z5zwdjk5,2
3kath6a9n9q08,3o40y4svvhgpn,24
1uj408gj7d7ef,3dbsf8jhza75b,4
3b7307z6k1mww,3kglo7k1gj2dp,1040
1syfmgfz7wbv8,3306hmdq9cxwe,14
27pcovumew3ob,3vsxzszpnuml1,18
2fz59vixit6p2,31mx3cjc2rmwf,6
2kjm7xjqe7iew,3fniceigj1zrb,94
1c1ubzxizsyie,32kl1z5zwdjk5,2
2vj053nde6hvy,3r5tfwkd9rzj0,8
1v93me9q7po0b,3kglo7k1gj2dp,32
0ushmjg13zhvp,2yg9e33b0oc4q,2
274bho2z43f2v,2pu6od0wvqekg,10
1wfhsrlte7da2,3uor3wlh61s4z,38
1rex08c88yul7,3kglo7k1gj2dp,2
09zwgo2neo793,3drhnapwsoh48,18
30d32gorocsdc,3s8uiqlre78s5,4
084e8uy019pw5,3p34xnt0tojxv,28
0alpk5z23w37a,39lsca7uxivrw,6
15mk9abckp8wc,74v9ym57faeh,490
08ply7467wcth,1vajj0sdoy11j,10
00ij825ixga1h,0ucqx81quvrn5,6
0alpk5z23w37a,1bijtqzhbevxb,12
0j7xaag6omebi,0uhzyvcde50cq,4
0svjeasfs0x0v,3umqcdhxld74q,6
244k1j4igpi98,3mvgikn34o6mj,4
0fg9g3x972bmr,2f2g0vkgb83xl,2
326b2mbzobbhr,3uor3wlh61s4z,8
1gunu0vhv9onz,2wbdjzv6eifv0,22
08ply7467wcth,25prf3fhly946,18
0u4jp2pi84rfx,2e2akbj0ttyt7,4
1xgrcyr3y4vur,3fsc8u178218l,2
2cyh4atpkk6xw,2pcb57gbddt3p,4
1vf6voc1p0whn,27pcovumew3ob,6
1evyba9b1gzyb,3sg2860ln48bd,42
0hn57vad2idl4,1uj408gj7d7ef,18
00ij825ixga1h,3p34xnt0tojxv,2
1vf6voc1p0whn,2blaednlygf17,2
00bnsr66ydlq7,27pcovumew3ob,16
2e2akbj0ttyt7,3vrmwd9a4dkjr,112
0i3mmiliqzw6p,3pgvdv081jydt,2652
2d7sbmacwnp7j,3tzxtrjvv159q,48
1iacwualww2c2,252w5yla8yn6a,50
3602ltde4oqvv,3u75wljgwhfl7,2
1obh55eoirp41,2cyh4atpkk6xw,2
0uhzyvcde50cq,252w5yla8yn6a,2
2255uy5u4ecyl,74v9ym57faeh,6
2pcb57gbddt3p,3kpd3ril636f7,72
0uaq8muy26juc,3umqcdhxld74q,6
0wljwcs5l2ajk,2t13ksvcshpgu,6
09zwgo2neo793,2szz652clypsv,44
1f1c0nfexmrs5,2c2du5pfx1wdd,128
1xyv2ab3an3aa,39nlrn3vit9f7,2
136vmzolw5dn5,1uxytc3z396bu,10
0ucqx81quvrn5,3hadar1gfucpt,114
07ay8uulcnvk3,1nj0hinmem4bu,18
0lgcp95scv131,1h8erqlmjq04y,8
1t8hyus81u4p0,3gtq1fxygv5jm,140
0uaq8muy26juc,1i9lrrdbgar71,2
3a1jrb52dzvdw,3kglo7k1gj2dp,4
3f41atgo2t7ww,3mcgmcs7b2x3h,4
0i3mmiliqzw6p,11ej7p5wgxltz,170
0ucqx81quvrn5,2238n8o8ud2gh,6
2fiiubp4adekw,2vj053nde6hvy,2
26xcsq0gf1jwv,3gpyqbimvy18x,76
28hprz34gmg2,3gpyqbimvy18x,28
1c8m52glzowit,26xcsq0gf1jwv,38
2ld27iflst71g,3o40y4svvhgpn,2
0lgcp95scv131,3umqcdhxld74q,12
0alpk5z23w37a,donaqrcnrtqf,20
1c1ubzxizsyie,q3djpapqdeae,4
